connection_id,source_element_id,target_element_id,condition,connection_type,button,validation,trigger,parent
CONN_001,START_001,PROC_001,,normal,,,await,
CONN_002,PROC_001,DEC_001,,normal,Wyślij do akceptacji,Approver wskazany,button,
CONN_003,DEC_001,PROC_002,"""Tak – jest Senior Managerem""",conditional,,,await,
CONN_004,DEC_001,ACT_001,"""Nie – nie jest Senior Managerem""",conditional,,,await,
CONN_005,ACT_001,PROC_002,,normal,,,await,
CONN_006,PROC_002,PROC_001,Odrzucono,conditional,Reject,,button,
CONN_007,PROC_002,PROC_003,Zaakceptowano,conditional,Approve,,button,
CONN_008,PROC_003,PROC_002,Odrzucono,conditional,Odrzuć,,button,
CONN_009,PROC_003,DEC_002,Zaakceptowano,conditional,Akceptuj,,button,
CONN_010,DEC_002,PROC_004,"""Tak – nadal jest managerem""",conditional,,,await,
CONN_011,DEC_002,PROC_002,"""Nie – nie jest już managerem""",conditional,,,await,
CONN_012,PROC_004,END_001,,normal,,,await,
